gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2465001599	744edc21-8dd2-474e-8a0b-b8c3d56a3c2d	3679393	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia Kom.		CN					0870a77b-587c-4369-a8ed-bc3d347b8e1c	38.722672	105.997278							2005-06-28T00:00:00Z	28	6	2005	5284811	5284811	HUMAN_OBSERVATION							CC_BY_NC_4_0	Kessy Abarenkov	Jinhong He			2020-01-13T12:28:51.195Z		COORDINATE_REPROJECTION_FAILED
2417736153	3942a8dc-9f01-420d-a829-01675dc01c73	6622143	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		青海			a2fa5b68-3ebf-4845-abc5-f456d251386f	34.56	99.67							1993-01-01T00:00:00Z			1993	5284811	5284811	PRESERVED_SPECIMEN	PE		00053470				CC_BY_4_0		Ho Ting-nung et al			2019-11-13T15:07:49.901Z		GEODETIC_DATUM_ASSUMED_WGS84
2417733068	3942a8dc-9f01-420d-a829-01675dc01c73	6665133	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		青海			a2fa5b68-3ebf-4845-abc5-f456d251386f	36.63	101.2							1958-01-01T00:00:00Z			1958	5284811	5284811	PRESERVED_SPECIMEN	PE		00009650				CC_BY_4_0		钟补求			2019-11-13T15:07:47.447Z		GEODETIC_DATUM_ASSUMED_WGS84
2417733067	3942a8dc-9f01-420d-a829-01675dc01c73	6665096	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		青海			a2fa5b68-3ebf-4845-abc5-f456d251386f	36.63	101.2							1958-01-01T00:00:00Z			1958	5284811	5284811	PRESERVED_SPECIMEN	PE		00009687				CC_BY_4_0		钟补求			2019-11-13T15:07:50.014Z		GEODETIC_DATUM_ASSUMED_WGS84
2417728055	3942a8dc-9f01-420d-a829-01675dc01c73	6665145	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		甘肃			a2fa5b68-3ebf-4845-abc5-f456d251386f	35.13	104.21							1956-01-01T00:00:00Z			1956	5284811	5284811	PRESERVED_SPECIMEN	PE		00009638				CC_BY_4_0		黄河调查队			2019-11-13T15:07:47.415Z		GEODETIC_DATUM_ASSUMED_WGS84
2417709426	3942a8dc-9f01-420d-a829-01675dc01c73	6665132	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		青海			a2fa5b68-3ebf-4845-abc5-f456d251386f	35.16	101.38							1970-01-01T00:00:00Z			1970	5284811	5284811	PRESERVED_SPECIMEN	PE		00009651				CC_BY_4_0		周立华			2019-11-13T15:07:47.202Z		GEODETIC_DATUM_ASSUMED_WGS84
2417687038	3942a8dc-9f01-420d-a829-01675dc01c73	6665148	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		甘肃			a2fa5b68-3ebf-4845-abc5-f456d251386f	38.24	101.96							1957-01-01T00:00:00Z			1957	5284811	5284811	PRESERVED_SPECIMEN	PE		00009635				CC_BY_4_0					2019-11-13T15:07:49.604Z		GEODETIC_DATUM_ASSUMED_WGS84
2417675643	3942a8dc-9f01-420d-a829-01675dc01c73	6665143	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		甘肃			a2fa5b68-3ebf-4845-abc5-f456d251386f	38.43	100.81							1959-01-01T00:00:00Z			1959	5284811	5284811	PRESERVED_SPECIMEN	PE		00009640				CC_BY_4_0		何叶琪			2019-11-13T15:07:46.967Z		GEODETIC_DATUM_ASSUMED_WGS84
2417671113	3942a8dc-9f01-420d-a829-01675dc01c73	6665160	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		甘肃			a2fa5b68-3ebf-4845-abc5-f456d251386f	37.92	102.64							1959-01-01T00:00:00Z			1959	5284811	5284811	PRESERVED_SPECIMEN	PE		00009623				CC_BY_4_0		何叶琪			2019-11-13T15:07:47.055Z		GEODETIC_DATUM_ASSUMED_WGS84
2417660982	3942a8dc-9f01-420d-a829-01675dc01c73	6665147	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea crassifolia		SPECIES	Picea crassifolia Komarov	Picea crassifolia		CN		甘肃			a2fa5b68-3ebf-4845-abc5-f456d251386f	35.84	104.11							1956-01-01T00:00:00Z			1956	5284811	5284811	PRESERVED_SPECIMEN	PE		00009636				CC_BY_4_0		黄河队			2019-11-13T15:07:46.706Z		GEODETIC_DATUM_ASSUMED_WGS84
