gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2550112291	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37364894	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis	jezoensis	SUBSPECIES	Picea jezoensis subsp. jezoensis	Picea jezoensis jezoensis		RU		Kamchatka			28eb1a3f-1c15-4a95-931a-4af90ecb574d	55.043113	158.874655	61.0						2008-10-26T16:58:00Z	26	10	2008	7230723	5284798	HUMAN_OBSERVATION	iNaturalist	Observations	37364894			2020-01-07T13:44:28Z	CC_BY_NC_4_0	Ольга Курякова	Ольга Курякова			2020-01-23T00:11:42.526Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2540776713	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/35480605	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis		JP		Hokkaido			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.378583	143.999318							2019-05-15T10:13:00Z	15	5	2019	5284798	5284798	HUMAN_OBSERVATION	iNaturalist	Observations	35480605			2019-11-09T07:25:03Z	CC_BY_NC_4_0	Keita Watanabe	Keita Watanabe			2020-01-23T00:09:37.246Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2517770370	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360214	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis	hondoensis	VARIETY	Picea jezoensis var. hondoensis (Mayr) Rehd.	Picea jezoensis (Siebold & Zucc.) Carrière var. hondoensis Rehder	Rehder	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862													6549548	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360214				CC0_1_0	Naturalis Biodiversity Center	Debreczy Z; Racz I			2020-01-22T18:43:25.555Z	StillImage	RECORDED_DATE_INVALID
2517752406	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360211	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis	hondoensis	VARIETY	Picea jezoensis var. hondoensis (Mayr) Rehd.	Picea jezoensis (Siebold & Zucc.) Carrière var. hondoensis Rehder	Rehder	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862									1977-10-04T00:00:00Z	4	10	1977	6549548	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360211				CC0_1_0	Naturalis Biodiversity Center	Belder J			2020-01-22T18:43:46.066Z	StillImage	
2517751405	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360210	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis	hondoensis	VARIETY	Picea jezoensis var. hondoensis (Mayr) Rehd.	Picea jezoensis (Siebold & Zucc.) Carrière var. hondoensis Rehder	Rehder	NL					396d5f30-dea9-11db-8ab4-b8a03c50a862									1965-09-13T00:00:00Z	13	9	1965	6549548	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360210				CC0_1_0	Naturalis Biodiversity Center	Wiersma JH; Schalk AJB			2020-01-22T18:43:26.042Z	StillImage	
2517601723	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1912027	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière  'Aurea'		ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862									1964-05-06T00:00:00Z	6	5	1964	5284798	5284798	PRESERVED_SPECIMEN		Botany	WAG.1912027				CC0_1_0	Naturalis Biodiversity Center	Boom BK			2020-01-22T18:43:27.287Z	StillImage	
2517356689	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360207	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	NL					396d5f30-dea9-11db-8ab4-b8a03c50a862									1965-05-06T00:00:00Z	6	5	1965	5284798	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360207				CC0_1_0	Naturalis Biodiversity Center	Wiersma JH; Schalk AJB			2020-01-22T18:43:44.586Z	StillImage	
2517321490	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363528	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea hondoensis Mayr	Picea hondoensis Mayr	Mayr	JP					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284800	5284798	PRESERVED_SPECIMEN		Botany	L.4363528				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:22.935Z	StillImage	
2517311177	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1045190	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	ZZ	Sachalih, Mantsjoerije, N- Japan.R27.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1957-03-07T00:00:00Z	7	3	1957	5284798	5284798	PRESERVED_SPECIMEN		Botany	U.1045190				CC0_1_0	Naturalis Biodiversity Center	Cantonspark Baarn			2020-01-22T18:43:22.846Z	StillImage	
2517285515	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363524	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea hondoensis Mayr	Picea hondoensis Mayr	Mayr	JP					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284800	5284798	PRESERVED_SPECIMEN		Botany	L.4363524				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:39.158Z	StillImage	
2517277494	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363529	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea hondoensis Mayr	Picea hondoensis Mayr	Mayr	JP					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284800	5284798	PRESERVED_SPECIMEN		Botany	L.4363529				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:49.186Z	StillImage	
2517277493	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363514	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	KR					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284798	5284798	PRESERVED_SPECIMEN		Botany	L.4363514				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:49.186Z	StillImage	
2517224513	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363525	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea hondoensis Mayr	Picea hondoensis Mayr	Mayr	JP					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284800	5284798	PRESERVED_SPECIMEN		Botany	L.4363525				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:39.208Z	StillImage	
2517066237	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1045213	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	ZZ	Amur.				396d5f30-dea9-11db-8ab4-b8a03c50a862													8395125	5284798	PRESERVED_SPECIMEN		Botany	U.1045213				CC0_1_0	Naturalis Biodiversity Center	Maximowicz			2020-01-22T18:43:22.847Z	StillImage	
2517027537	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363536	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862													8395125	5284798	PRESERVED_SPECIMEN		Botany	L.4363536				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:22.944Z	StillImage	
2517013487	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363535	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862													8395125	5284798	PRESERVED_SPECIMEN		Botany	L.4363535				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:41.230Z	StillImage	
2517005123	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.3702377	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	ZZ	Areaal: Mandjoerije, sachalin, N-Japan.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1947-12-22T00:00:00Z	22	12	1947	5284798	5284798	PRESERVED_SPECIMEN		Botany	L.3702377				CC0_1_0	Naturalis Biodiversity Center	Hattum HJ van			2020-01-22T18:43:43.930Z	StillImage	
2516901509	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1045191	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	ZZ	Sachalin, Mantsjoerie, N.-Japan.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1957-03-07T00:00:00Z	7	3	1957	5284798	5284798	PRESERVED_SPECIMEN		Botany	U.1045191				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:39.468Z	StillImage	
2516899848	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363515	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	KR					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284798	5284798	PRESERVED_SPECIMEN		Botany	L.4363515				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:40.298Z	StillImage	
2516035511	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360208	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	NL					396d5f30-dea9-11db-8ab4-b8a03c50a862									1965-05-06T00:00:00Z	6	5	1965	5284798	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360208				CC0_1_0	Naturalis Biodiversity Center	Wiersma JH; Schalk AJB			2020-01-22T18:43:25.602Z	StillImage	
2515995974	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360209	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	ZZ	Origin: Sachalin, Japan 1925 through prof. T. Haide, Sapporo.				396d5f30-dea9-11db-8ab4-b8a03c50a862	61.783333	29.3							1981-11-04T00:00:00Z	4	11	1981	5284798	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360209				CC0_1_0	Naturalis Biodiversity Center	Alanko P			2020-01-22T18:43:26.076Z	StillImage	COUNTRY_COORDINATE_MISMATCH
2515838445	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360212	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis	hondoensis	VARIETY	Picea jezoensis var. hondoensis (Mayr) Rehd.	Picea jezoensis (Siebold & Zucc.) Carrière var. hondoensis Rehder	Rehder	ZZ	Heimisch in Ostasien.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1900-09-10T00:00:00Z	10	9	1900	6549548	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360212				CC0_1_0	Naturalis Biodiversity Center	Baenitz CG			2020-01-22T18:43:42.166Z	StillImage	
2515811697	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360145	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	NL					396d5f30-dea9-11db-8ab4-b8a03c50a862													8395125	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360145				CC0_1_0	Naturalis Biodiversity Center	Valckenier Suringar J			2020-01-22T18:43:26.600Z	StillImage	RECORDED_DATE_INVALID
2515720857	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/WAG.1360213	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis	hondoensis	VARIETY	Picea jezoensis var. hondoensis (Mayr) Rehd.	Picea jezoensis (Siebold & Zucc.) Carrière var. hondoensis Rehder	Rehder	ZZ	Heimisch in Ostasien.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1900-09-14T00:00:00Z	14	9	1900	6549548	5284798	PRESERVED_SPECIMEN		Botany	WAG.1360213				CC0_1_0	Naturalis Biodiversity Center	Baenitz CG			2020-01-22T18:43:42.830Z	StillImage	
2515372959	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363516	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	KR					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284798	5284798	PRESERVED_SPECIMEN		Botany	L.4363516				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:42.142Z	StillImage	
2515361969	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363534	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862													8395125	5284798	PRESERVED_SPECIMEN		Botany	L.4363534				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:23.403Z	StillImage	
2515348182	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363527	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea hondoensis Mayr	Picea hondoensis Mayr	Mayr	JP					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284800	5284798	PRESERVED_SPECIMEN		Botany	L.4363527				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:22.876Z	StillImage	
2515289762	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/U.1045216	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	JP	Hokkaido. Kamikawa: vicinity of Otoineppu,Hokkaido-daigaku Nakagawa Enshurin, Tokiwa-mura, Nakagawa-gun.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1978-06-23T00:00:00Z	23	6	1978	5284798	5284798	PRESERVED_SPECIMEN		Botany	U.1045216				CC0_1_0	Naturalis Biodiversity Center	Murata G; Koyama H; Yahara T			2020-01-22T18:43:23.243Z	StillImage	
2515270334	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4169594	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862									1904-08-27T00:00:00Z	27	8	1904	8395125	5284798	PRESERVED_SPECIMEN		Botany	L.4169594				CC0_1_0	Naturalis Biodiversity Center	Beissner L			2020-01-22T18:43:22.261Z	StillImage	
2515233954	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363537	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Picea ajanensis Fisch. ex Trautv. & C.A.Mey.	Fisch. ex Trautv. & C.A.Mey.	ZZ					396d5f30-dea9-11db-8ab4-b8a03c50a862													8395125	5284798	PRESERVED_SPECIMEN		Botany	L.4363537				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:22.905Z	StillImage	
2515147279	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363526	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea hondoensis Mayr	Picea hondoensis Mayr	Mayr	JP					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284800	5284798	PRESERVED_SPECIMEN		Botany	L.4363526				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:23.524Z	StillImage	
2515144946	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.4363517	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	KR					396d5f30-dea9-11db-8ab4-b8a03c50a862													5284798	5284798	PRESERVED_SPECIMEN		Botany	L.4363517				CC0_1_0	Naturalis Biodiversity Center	Unknown			2020-01-22T18:43:23.721Z	StillImage	
2515069387	15f819bd-6612-4447-854b-14d12ee1022d	https://data.biodiversitydata.nl/naturalis/specimen/L.3702378	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea jezoensis		SPECIES	Picea jezoensis Carrière	Picea jezoensis (Siebold & Zucc.) Carrière	(Siebold & Zucc.) Carrière	ZZ	Areaal: Mandsjoerije, Sachalin, N-Japan.				396d5f30-dea9-11db-8ab4-b8a03c50a862									1943-08-22T00:00:00Z	22	8	1943	5284798	5284798	PRESERVED_SPECIMEN		Botany	L.3702378				CC0_1_0	Naturalis Biodiversity Center	Hattum HJ van			2020-01-22T18:43:39.145Z	StillImage	
