gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2557742655	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/37451785	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.051166	76.990751	31.0						2016-06-13T11:43:00Z	13	6	2016	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	37451785			2020-01-10T10:53:04Z	CC_BY_NC_4_0	vladimir_epiktetov	vladimir_epiktetov			2020-01-23T00:10:10.382Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893647	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24838812	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.127205	76.903954							2019-05-09T17:32:34Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24838812			2019-05-09T15:21:08Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:11:05.626Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893620	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24842763	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.127205	76.903954							2019-05-09T18:29:22Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24842763			2019-05-09T16:42:06Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:10:18.364Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893607	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24835420	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.127205	76.903954							2019-05-09T17:24:05Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24835420			2019-05-09T14:03:59Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:09:34.860Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893606	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24842500	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.098614	76.921005							2019-05-09T18:24:03Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24842500			2019-05-09T16:37:12Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:09:53.367Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893605	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24842576	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.117283	76.908585							2019-05-09T18:25:11Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24842576			2019-05-09T16:38:28Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:11:07.102Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893602	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24841978	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.117283	76.908585							2019-05-09T18:20:54Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24841978			2019-05-09T16:27:45Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:10:21.495Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893596	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24835043	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.088078	76.908034	263.0						2019-05-09T17:16:26Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24835043			2019-05-09T13:57:14Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:10:15.467Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2542893591	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/24835748	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana		SPECIES	Picea schrenkiana Fisch. & Mey.	Picea schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.127205	76.903954							2019-05-09T17:29:50Z	9	5	2019	5284814	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	24835748			2019-05-09T14:11:58Z	CC_BY_NC_4_0	ruslan	ruslan			2020-01-23T00:11:18.736Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2517968770	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/34527531	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea	Picea schrenkiana	schrenkiana	SUBSPECIES	Picea schrenkiana subsp. schrenkiana	Picea schrenkiana schrenkiana		KZ		Almaty			28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.06132	76.98448	8.0						2017-07-07T00:00:00Z	7	7	2017	5284815	5284814	HUMAN_OBSERVATION	iNaturalist	Observations	34527531			2019-10-22T13:55:07Z	CC_BY_NC_4_0	Vladimir Arkhipov	Vladimir Arkhipov			2020-01-23T00:09:44.118Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
